date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
03/27/2021,"Open 21.3","For total time:• 15 front squats • 30 toes-to-bars • 15 thrustersRest 1 min.•15 front squats• 30 chest-to-bar pull-ups • 15 thrustersRest 1 min.• 15 front squats• 30 bar muscle-ups • 15 thrusters♀ 65 lb. ♂ 95 lb.Time cap: 15 minWorkout 21.4 begins immediately upon completing or reaching the time cap for 21.3.For full equipment details, categories, and scoring options visit: https://games.crossfit.com/workouts/open/2021/3",135,"135","Reps","","[{""reps"":135}]","Finished last round of front squats at 13:00, couldn’t do MU because grip lol",RX,PR
03/27/2021,"Open 21.4","Complete the following complex for max load:• 1 deadlift• 1 clean• 1 hang clean • 1 jerkTime begins immediately following the completion of 21.3.Time cap: 7 min.For full equipment details, categories, and scoring options visit: https://games.crossfit.com/workouts/open/2021/4",165,"165","Load","","[{""success"":true,""load"":165}]","",RX,PR
04/02/2021,"Now for Something Completely Different","35-25-15-5Wall Balls (20/14)Burpees",651,"10:51","","","[{""secs"":51,""mins"":10}]","🤢🤢🤢",RX,
04/02/2021,"German Cleans & Tempo Ring Dips (load)","2 ROUNDS:3 German Clean @ 50%1 Tempo Ring Dips (5/0/x/5)2 Ring Dips.12 Minute AMRAP:3 German Cleans (adding weight as able)1 Tempo Ring Dips (5/0/0/5)2 Ring Dips",115,"115","Load","","[{""success"":true,""load"":115}]","115,135,then 8 sets of 115",RX,
04/02/2021,"German Cleans & Tempo Ring Dips (reps)","2 ROUNDS:3 German Clean @ 50%1 Tempo Ring Dips (5/0/x/5)2 Ring Dips.12 Minute AMRAP:3 German Cleans (adding weight as able)1 Tempo Ring Dips (5/0/0/5)2 Ring Dips",10,"10","Rounds + Reps","","[{""rnds"":10}]","2 dips? What is this, warmup? 😂",RX,
07/28/2021,"P. Cleans, WBs, DUs, Row (:20 - :55)","3 ROUNDS:10 Sandbag Power Cleans (100/70)20 Wall Balls (20/14)40 Double Unders.2K Row.2 ROUNDS:10 Sandbag Power Cleans (100/70)20 Wall Balls (20/14)40 Double Unders.1K Row.10 Sandbag Power Cleans (100/70)20 Wall Balls (20/14)40 Double Unders",2165,"36:05","","","[{""secs"":5,""mins"":36}]","50lb sandbag",SCALED,
09/08/2021,"Bike, Wall Balls","PARTNER WOD:36 Minute AMRAP:Partner A: 10/8 Calorie Bike10 Wall Balls (20/14)Then Partner B Goes..Partner A:20/16 Calorie Row20 Kettlebell Swings (53/35)Then Partner B Goes.Partner not working is resting.",5.005,"5+5","Rounds + Reps","","[{""rnds"":5,""reps"":5}]","",RX,
01/07/2022,"WOD","2K Row.10 ROUNDS:10 Pull Ups150 Farmers Carry - Left Hand (53/35)150 Farmers Carry - Right Hand (53/35)10 Kettlebell Swings (53/35).2K Row",2780,"46:20","","","[{""secs"":20,""mins"":46}]","Basically 45min grip exercise",RX,
01/07/2022,"Cool Down","10 ROUNDS:1 Reps:  Standing I1 Reps:  Standing Y1 Reps:  Standing T.10 Reps:  Standing L, aka Cuban Press**All unweighted. .5 Jefferson Curls",2,"2","Emoji Selection","","[{""index"":2}]","",RX,
07/01/2022,"WOD","5 ROUNDS:400m Sandbag Carry (100/70)3 Power Snatch (135/95)12 Wall Balls (20/14)",1460,"24:20","","","[{""secs"":20,""mins"":24}]","70# bag, 95# bbFinished 4 rounds in 19:45Fun workout… carry is definitely the worst part, maybe because I barely do them but most likely also because sandbag needs to be stabilized with upper back and the traps start to hurt mildly and annoyingly pretty soon. The breathing is also constrained similar to GHD sit up where there’s no place to breathe, as opposed to, say, wall balls where you can get in a nice rhythm of inhaling at the top of the throw (full extension) and go for very high reps. Once I figured out how to hold a bag without engaging traps it’s gotten much better; what helped is holding onto the outer handles and protracting elbows forward similar to a front rack except with palms facing towards yourself.",SCALED,
08/09/2022,"WOD","15 Minute AMRAP:8 One Handed DB Power Clean (50/35)*6 Wall Walks*Alternate which hand each round",8,"8","Rounds + Reps","","[{""rnds"":8}]","Timed it well with rounds and rest but arms almost gave up on wall walks at the end",RX,
09/16/2022,"WOD","9 ROUNDS:5 Handstand Push Ups5 Deadlifts (225/155)",321,"5:21","","","[{""secs"":21,""mins"":5}]","Did clean and jerks for the skill/power part before wod ",RX,
12/01/2022,"WOD","3 ROUNDS:3 Minute AMRAP3 Box Jumps (24/20)6 DB Devil Press (50/35)1 Minute REST",7.003,"7+3","Rounds + Reps","","[{""rnds"":7,""reps"":3}]","Tried emom but it’s a bit too heavy: 3,2,2(done after hang cleans & power jerks)",RX,
12/05/2022,"WOD","21-15-9Row (calorie)DB Push Press (50/35)Pull Ups.21-15-9Row (calorie)Push UpsAlt Renegade Row (50/35)",1043,"17:23","","","[{""secs"":23,""mins"":17}]","Mostly muscular failure. Might be coz lats took some beating from 6x4 muscle-ups ",RX,
12/12/2022,"WOD","12 Minute AMRAP:5 Wall Walks20 KB Goblet Squats (53/35)10 Single Arm KB Push Press (53/35)*.*Start with weaker arm first, switch every round.",5,"5","Rounds + Reps","","[{""rnds"":5}]","Shoulder annihilation. Done after snatch complexes.",RX,
12/24/2022,"All is Quiet","12 ROUNDS:24 Double Unders12 Burpee Pull Ups* 6 Alternating DB Power Snatch (50/35).*to 6"" target",2224,"37:04","","","[{""secs"":4,""mins"":37}]","Sweet mother of god… am I 💀 ",RX,
01/04/2023,"WOD","4 ROUNDS:20 Wall Balls (20/14)10 Handstand Push Ups20 Double Unders",469,"7:49","","","[{""secs"":49,""mins"":7}]","Complete muscular failure. I should probably learn how to do non-strict HSP.",RX,
01/06/2023,"WOD","3 ROUNDS:500m Row14 Reverse Overhead Lunges (95/65)28 Push Ups",704,"11:44","","","[{""secs"":44,""mins"":11}]","",RX,
01/24/2023,"WOD","16 Minute CAP:50 Double Unders5 Squat Snatch (95/65)40 Double Unders4 Squat Snatch (115/75)30 Double Unders3 Squat Snatch (135/95)20 Double Unders2 Squat Snatch (155/105)10 Double Unders1 Squat Snatch (185/120)Max Row Calories",159,"159","Calories","","[{""calories"":159}]","95-105-115-125-135",SCALED,
01/31/2023,"WOD","12 Minute AMRAP:30 Double Unders6 Toes to Bar3 Squat Snatch (135/95)",393,"6:33","","","[{""secs"":33,""mins"":6}]","6 rounds + 33 reps30 DU6 T2B3 each arm, KB snatch @32kg (beware flying bell with fatigued grip 😂)",SCALED,
02/02/2023,"WOD","14 Minute AMRAP:4 Wall Walks 8 Alternating Renegade Rows (50/35)12 DB Power Cleans (50/35)",5.017,"5+17","Rounds + Reps","","[{""rnds"":5,""reps"":17}]","",RX,
02/16/2023,"Deadlift 1x6","Deadlift for load: #1: 6 reps",365,"365","Load","Deadlift","[{""success"":true,""load"":365}]","6,5,4..1",RX,
02/18/2023,"Open 23.1","Complete as many reps as possible in14 minutes of:• 60-calorie row• 50 toes-to-bars• 40 wall-ball shots• 30 cleans• 20 muscle-ups♀ 14-lb ball to 9-ft target, 95-lb cleans♂ 20-lb ball to 10-ft target, 135-lb cleansFor full equipment details, categories, and scoring options visit: https://games.crossfit.com/workouts/open/2023/1",178,"178","Reps","","[{""reps"":178}]","Got a bunch of no reps on t2b so now I know what to work on 🫠",RX,PR
02/25/2023,"Open 23.2B","Immediately following 23.2A, athletes will have 5 minutes to establish:• 1-rep-max thruster (from the floor)For full equipment details, categories, and scoring options visit: https://games.crossfit.com/workouts/open/2023/2",185,"185","Load","","[{""success"":true,""load"":185}]","",RX,PR
02/25/2023,"Open 23.2A","Complete as many reps as possible in 15 minutes of:• 5 burpee pull-ups• 10 shuttle runs (1 rep = 25 ft out/25 ft back)*Add 5 burpee pull-ups after each round.For full equipment details, categories, and scoring options visit: https://games.crossfit.com/workouts/open/2023/2",108,"108","Reps","","[{""reps"":108}]","Judged in the official affiliate,  CrossFit 954 in Puerto Escondido, Mexico ",RX,PR
03/13/2023,"WOD","1.5K Row100 Alternating Reverse Lunges50 Push Ups100 Double Unders1.5K Row",1180,"19:40","","","[{""secs"":40,""mins"":19}]","Interesting how my double unders went to complete shit because fatigued chest. Lost a good minute on it 🫠Unbroken lungesPush-ups in 10’s~2:00 pace on a rower",RX,
03/15/2023,"WOD","14 Minute AMRAP:1 Wall Walk2 Front Squat (135/95)2 Wall Walks4 Front Squats (135/95)3 Wall Walks6 Front Squat (135/95)4 Wall Walks8 Front Squats (135/95)5 Wall Walks10 Front Squats (135/95).1 Wall Walk2 Front Squat (155/105)2 Wall Walks4 Front Squats (155/105)3 Wall Walks6 Front Squat (155/105)... etc",80,"80","Reps","","[{""reps"":80}]","Finished last set of 155.Done after 400m sprints at 5:36-5:52 pace.",RX,
03/17/2023,"WOD","2K Row21-15-9Handstand Push UpsThrusters (95/65)",1127,"18:47","","","[{""secs"":47,""mins"":18}]","Pathetic. Can’t do thrusters for the life of me.",RX,
03/18/2023,"Maxton","With a weight vest, 13 rounds for time of:8 strict pull-ups26 box step-ups21 burpees♀ 14-lb. vest, 20-in. box♂ 20-lb. vest, 24-in. boxIn honor of Navy Corpsman Maxton Soviak, 22, who was among the 13 U.S. service members killed during the attack outside the Kabul airport in Afghanistan on Aug. 26, 2021.Soviak was an avid CrossFit athlete who trained at CrossFit Hita, CrossFit Latte Stone, and Custom Fitness Guam. This workout includes some of his favorite CrossFit movements.According to Harold Aranda, a family friend, “Max loved hard work, he loved the grind, and he never gave up. He was never one to put people down but rather pull them up to be great.”",2400,"40:00","","","[{""secs"":0,""mins"":40}]","Couldn’t find vest in the gym8+18Death by volume",SCALED,
03/20/2023,"OMAR","For time:• 95/65 pound barbell Thrusters, 10• 15 Bar-facing burpees• 95/65 pound barbell Thrusters, 20• 25 Bar-facing burpees• 95/65 pound barbell Thrusters, 30• 35 Bar-facing burpees",837,"13:57","","","[{""secs"":57,""mins"":13}]","Figured out that thrusters are easier when you don’t lower the weight but just let it fall down ",RX,PR
03/22/2023,"Mary","AMRAP in 20 minutes of:• 5 HSPU• 10 Pistol squats• 15 Pull-ups",9.027,"9+27","Rounds + Reps","","[{""rnds"":9,""reps"":27}]","3 reps away from 10. Lats ded. Gotta learn how to kip consecutively.",RX,PR
03/22/2023,"Bench Press 1x1","Bench Press for load: #1: 1 rep",280,"280","Load","Bench Press","[{""success"":true,""load"":280}]","20lb off my all time max from powerbuilding days and I’m 10lb heavier now 🫠 I’ll take itSpotted by Nick",RX,
03/23/2023,"Deadlift 1x1","Deadlift for load: #1: 1 rep",415,"415","Load","Deadlift","[{""success"":true,""load"":415}]","hi Mike :P",RX,
03/27/2023,"WOD","7 ROUNDS:3 Power Cleans (155/100)5 Lateral Barbell Burpees30 Double Unders",563,"9:23","","","[{""secs"":23,""mins"":9}]","Insanely sore from Chelsea that I finally managed to RX on Monday ",RX,
03/30/2023,"Shoulder Press 1x6","Shoulder Press for load: #1: 6 reps",135,"135","Load","Shoulder Press","[{""success"":true,""load"":135}]","",RX,
04/03/2023,"Back Squat 1x6","Back Squat for load: #1: 6 reps",275,"275","Load","Back Squat","[{""success"":true,""load"":275}]","6,5,4,..,1",RX,
04/04/2023,"WOD","20 Minute CAP:1400m RunAMRAP in Remaining Time:20 Double Unders6 Toes to Bar4 Burpee Pull Ups",8.015,"8+15","Rounds + Reps","","[{""rnds"":8,""reps"":15}]","1400m in 6:34All that running is paying off I guess. 1 mile no longer feels like I’m dying.",RX,
04/04/2023,"SWOD","8 ROUNDS:20 Second AMRAP:  Pull Ups10 Second REST20 Second AMRAP:  Push Ups10 Second REST",181,"181","Reps","","[{""reps"":181}]","10,10,10,10,8,8,8,915,15,15,15,12,12,12,12",RX,
04/05/2023,"Snatch Balance 1x3","Snatch Balance for load: #1: 3 reps",185,"185","Load","Snatch Balance","[{""success"":true,""load"":185}]","Haven’t done these in ages, felt strong",RX,
04/05/2023,"Snatch + Floating Below Knee Snatch 1x1","Snatch + Floating Below Knee Snatch for load: #1: 1 repPerform a full squat snatch from ground, lower barbell below knee and immediately extend into a squat snatch.  Barbell should not touch the ground in between reps.",155,"155","Load","Snatch + Floating Below Knee Snatch","[{""success"":true,""load"":155}]","",RX,
04/07/2023,"WOD","4 ROUNDS:700m Run10 Wall Walks500m Row30 Wall Balls (20/14)",2441,"40:41","","","[{""secs"":41,""mins"":40}]","Absolutely brutal. Shoulders ded, cardio ded. Mental challenge as much as physical.Practicing wall walks to an actual 10” from the wall and it’s noticeably harder.",RX,
04/08/2023,"Helen","3 rounds for time of:• 400m run• 21 Kettlebell Swings 1.5/1 pood • 12 Pull-ups",612,"10:12","","","[{""secs"":12,""mins"":10}]","",RX,PR
04/10/2023,"Back Squat 1x6","Back Squat for load: #1: 6 reps",295,"295","Load","Back Squat","[{""success"":true,""load"":295}]","Descending reps and rest:6,5,4,..13:00,2:00,1:30,1:00,0:30",RX,
04/10/2023,"WOD","4 ROUNDS:10 KB Power Clean + Jerk - Left Hand (70/53)20 Push Ups10 KB Power Clean + Jerk - Right Hand (70/53)30 Wall Balls (20/14).",1134,"18:54","","","[{""secs"":54,""mins"":18}]","32kg, 28kg, 24, 24Maybe if I wasn’t greedy with 32 and went with 28 for all sets I’d be able to complete this in about 20 min? 🤔Cleaning from the floor on every rep is super weird. I’m used to RKC style clean and jerks. No power from the swing here and different trajectory. But sure, I’ll take extra challenge.",SCALED,
04/10/2023,"Shoulder Press 1x6","Shoulder Press for load: #1: 6 reps",145,"145","Load","Shoulder Press","[{""success"":true,""load"":145}]","Grinder",RX,
04/11/2023,"WOD","8 ROUNDS:400m Run8 Toes to Bar16 Air Squats to Medicine Ball",1424,"23:44","","","[{""secs"":44,""mins"":23}]","",RX,
04/12/2023,"Snatch + Floating Below Knee Snatch 1x1","Snatch + Floating Below Knee Snatch for load: #1: 1 repPerform a full squat snatch from ground, lower barbell below knee and immediately extend into a squat snatch.  Barbell should not touch the ground in between reps.",155,"155","Load","Snatch + Floating Below Knee Snatch","[{""success"":true,""load"":155}]","115x2,135x2,155x5",RX,
04/12/2023,"Snatch Balance 1x3","Snatch Balance for load: #1: 3 reps",185,"185","Load","Snatch Balance","[{""success"":true,""load"":185}]","3x3 snatch balance, then4x5 overhead squats @185 in 6 more minutes ",RX,
04/15/2023,"Death by Echo Bike","EMOM:  for as long as possible on bike.Beginning with 3 calories on the Echo Bike, rest until 1:00 then add 3 additional calories every minute on the minute until failure to complete designated calories. Complete 3 calories the first minute for round one, then rest until 1:00. Complete 6 calories in one minute for round two, 9 calories for round three, and so on.",18,"18","Calories","","[{""calories"":18}]","People: I don’t have time to exercise, not even 10 mins, how am I supposed to get a good workout in?Air bike: hold my beer",RX,
04/18/2023,"SWOD","8 ROUNDS:10 Second AMRAP:  Pull Ups20 Second REST10 Second AMRAP:  Push Ups20 Second REST",161,"161","Reps","","[{""reps"":161}]","10,8,8,7,8,8,8,713,13,13,13,12,11,11,11Kipping pull-ups still pretty abysmal, gotta practice more…",RX,
04/21/2023,"WOD","7.5K Row**EMOM: 5 Push Ups",2210,"36:50","","","[{""secs"":50,""mins"":36}]","Post knee injection on Monday for torn meniscus, can’t use legs efficiently 🫠",RX,
04/22/2023,"Nicole","AMRAP in 20 minutes of:• 400m run• Pull-ups (max reps)",96,"96","Reps","","[{""reps"":96}]","10,15,13,15,13,13,17Never done this wod — next time gotta focus on getting more pull-up reps each round and minimize the number of runs; i think the best strategy is literally just go all out on each pull-up set",RX,PR
04/25/2023,"SWOD","10 ROUNDS:20 Second AMRAP:  Pull Ups10 Second REST20 Second AMRAP:  Push Ups10 Second REST",167,"167","Reps","","[{""reps"":167}]","With 20lb vest (strict pull-ups coz Kipping with vest seems… intense?)6,6,6,6,6,5,5,4,4,5=5312,12,12,12,12,10,10,10,10,14=114",RX,
04/25/2023,"WOD","4 ROUNDS:700m Run7 Wall Walks14 Toes to Bar",1455,"24:15","","","[{""secs"":15,""mins"":24}]","875m row (as per 1.25 conversion) coz my knee was hurting after running on Monday 😭Rest RX and unbroken. Wall walks after all those push-ups is a special kind of hell…",SCALED,
04/27/2023,"Shoulder Press 1x4","Shoulder Press for load: #1: 4 reps",155,"155","Load","Shoulder Press","[{""success"":true,""load"":155}]","Grinder ",RX,
05/02/2023,"SWOD","10 ROUNDS:20 Second AMRAP:  Pull Ups10 Second REST20 Second AMRAP:  Push Ups10 Second REST",221,"221","Reps","","[{""reps"":221}]","10,10,10,10,10,10,10,10,1015,15,13,13,12,10,10,10,10,13Kipping feel better",RX,
05/08/2023,"Shoulder Press 1x4","Shoulder Press for load: #1: 4 reps",155,"155","Load","Shoulder Press","[{""success"":true,""load"":155}]","Dropped down to 4x4 @135 after top set",RX,
05/09/2023,"SWOD","10 ROUNDS:20 Second AMRAP:  Pull Ups10 Second REST20 Second AMRAP:  Push Ups10 Second REST",229,"229","Reps","","[{""reps"":229}]","5x11,5x105x13,4x12,11These were so dense it drained me for the rest of the workout ",RX,
05/10/2023,"Snatch + Floating Below Knee Snatch 1x1","Snatch + Floating Below Knee Snatch for load: #1: 1 repPerform a full squat snatch from ground, lower barbell below knee and immediately extend into a squat snatch.  Barbell should not touch the ground in between reps.",135,"135","Load","Snatch + Floating Below Knee Snatch","[{""success"":true,""load"":135}]","No feet snatches, taking it easy with the knee ",RX,
05/11/2023,"Deadlift 1x4","Deadlift for load: #1: 4 reps",315,"315","Load","Deadlift","[{""success"":true,""load"":315}]","",RX,
05/13/2023,"Elizabeth","21-15-9 reps for time of:• Clean 135/95#• Ring dips",532,"8:52","","","[{""secs"":52,""mins"":8}]","In Mexico City at 7350ft altitude… gasping for air the entire time ",RX,PR
06/05/2023,"WOD","6 ROUNDS:1 Minute AMRAP:1 Cluster (135/95)6 Lateral Barbell Burpees1 Minute REST",84,"84","Reps","","[{""reps"":84}]","14 each round (2x cluster + burpees)",RX,
06/09/2023,"WOD","5 ROUNDS:400m Run30 Step Ups Holding DBs (24/20), (50/35)30 Wall Balls (20/14)",1657,"27:37","","","[{""secs"":37,""mins"":27}]","Taking it easy on my knee so substituted step-ups for pull-ups… which ended up completely destroying me. 6x5 every round as fast as I could. At least I can run again which is nice. Wall balls were tough… haven’t done them in a while and it shows. Terrible performance, cut it at 4 rounds to not murder my lats too much… gotta get my aerobic capacity back up. 120 pull-ups in 27 minutes (combined with everything else) — I guess I’ll take it.4 rounds:400m run30 pull-ups30 wall balls @20",SCALED,
06/13/2023,"Run 1 mile","Run 1 mile",425,"7:05","","","[{""secs"":5,""mins"":7}]","Around the block ",RX,PR
06/13/2023,"Angie","For time:• 100 pull-ups• 100 push ups• 100 sit-ups• 100 squats",1234,"20:34","","","[{""secs"":34,""mins"":20}]","Wanted sub 20 but sit-ups slowed me down. Also who knew 100 consecutive squats are hard.",RX,PR
06/14/2023,"Snatch 1x1","Snatch for load: #1: 1 rep",175,"175","Load","Snatch","[{""success"":true,""load"":175}]","10lb PR, I think? 😍Missed 185 (damn it, that’s the ultimate goal — my bodyweight)",RX,
